File,Board,Model,Average Latency
latency_base_en.txt,Rasp4 4GB,base_en,5.9480900000000005
latency_base_en_fp32.txt,Rasp4 4GB,base_en_fp32,7.61982
latency_distil-small_en.txt,Rasp4 4GB,distil-small_en,13.746749999999997
latency_distil-small_en_fp32.txt,Rasp4 4GB,distil-small_en_fp32,19.76245
latency_tiny_en.txt,Rasp4 4GB,tiny_en,3.41509
latency_tiny_en_fp32.txt,Rasp4 4GB,tiny_en_fp32,3.69422
openai_latency_base_en.txt,Rasp4 4GB,openai_base_en,10.48001
openai_latency_tiny_en.txt,Rasp4 4GB,openai_tiny_en,5.549429999999999
latency_base_en.txt,Rasp5 16GB,base_en,3.1913600000000004
latency_base_en_fp32.txt,Rasp5 16GB,base_en_fp32,4.08084
latency_distil-small_en.txt,Rasp5 16GB,distil-small_en,7.049249999999999
latency_distil-small_en_fp32.txt,Rasp5 16GB,distil-small_en_fp32,10.04538
latency_tiny_en.txt,Rasp5 16GB,tiny_en,1.6986599999999998
latency_tiny_en_fp32.txt,Rasp5 16GB,tiny_en_fp32,2.37222
openai_latency_base_en.txt,Rasp5 16GB,openai_base_en,5.09683
openai_latency_tiny_en.txt,Rasp5 16GB,openai_tiny_en,2.6521199999999996
latency_base_en.txt,Rasp5 4GB,base_en,2.2789899999999994
latency_base_en_fp32.txt,Rasp5 4GB,base_en_fp32,3.8482100000000004
latency_distil-small_en.txt,Rasp5 4GB,distil-small_en,5.12669
latency_distil-small_en_fp32.txt,Rasp5 4GB,distil-small_en_fp32,8.981309999999999
latency_tiny_en.txt,Rasp5 4GB,tiny_en,1.2578099999999999
latency_tiny_en_fp32.txt,Rasp5 4GB,tiny_en_fp32,1.88141
openai_latency_base_en.txt,Rasp5 4GB,openai_base_en,3.5098200000000004
openai_latency_tiny_en.txt,Rasp5 4GB,openai_tiny_en,1.95442
latency_base_en.txt,Rasp5 8GB,base_en,2.9954799999999997
latency_base_en_fp32.txt,Rasp5 8GB,base_en_fp32,4.00324
latency_distil-small_en.txt,Rasp5 8GB,distil-small_en,6.7094700000000005
latency_distil-small_en_fp32.txt,Rasp5 8GB,distil-small_en_fp32,9.803989999999999
latency_tiny_en.txt,Rasp5 8GB,tiny_en,1.6466699999999999
latency_tiny_en_fp32.txt,Rasp5 8GB,tiny_en_fp32,2.02288
openai_latency_base_en.txt,Rasp5 8GB,openai_base_en,4.64351
openai_latency_tiny_en.txt,Rasp5 8GB,openai_tiny_en,2.6444099999999997
